-6.59647 -3.8076 0
6.59647 -3.8076 0
0 0 19.21
1 0 0
0 1 0
0 0 1
0.1668219209483819 0.8331780790516180 0.5940000000000012	Mo
0.5001844788234239 0.4998155211765761 0.4916279798422349	Te
0.5001844788234239 0.4998155211765761 0.6963720201577676	Te
0.0079551712199428 0.5153351888598811 0.4987734937069008	Te
0.0079551712199428 0.5153351888598811 0.6892265062930945	Te
0.0080838656409620 0.9919161343590381 0.4987633083313914	Te
0.0080838656409620 0.9919161343590381 0.6892366916686110	Te
0.4846648111401188 0.9920448287800571 0.4987734937069008	Te
0.4846648111401188 0.9920448287800571 0.6892265062930945	Te
0.1717167485473959 0.3354703011792881 0.5940000000000012	Zr
0.6643249780346236 0.3356750219653765 0.5940000000000012	Zr
0.6645296988207121 0.8282832514526038 0.5940000000000012	Zr
